iShares Russell 2000 ETF
Fund Holdings as of,"Apr 23, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"276,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","1,200,797,802.57","1.59","1,200,797,802.57","5,054,501.00","237.57","United States","NYSE","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","692,381,102.32","0.92","692,381,102.32","3,731,708.00","185.54","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","576,178,964.16","0.76","576,178,964.16","835,696.00","689.46","United States","NYSE","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","442,992,317.88","0.59","442,992,317.88","23,488,458.00","18.86","United States","NYSE","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","419,611,159.40","0.55","419,611,159.40","3,374,165.00","124.36","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","380,950,374.56","0.50","380,950,374.56","3,134,878.00","121.52","United States","NASDAQ","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","348,218,970.66","0.46","348,218,970.66","7,981,182.00","43.63","United States","NYSE","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","346,044,743.00","0.46","346,044,743.00","2,498,518.00","138.50","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","342,049,475.25","0.45","342,049,475.25","690,075.00","495.67","United States","NASDAQ","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","333,612,134.79","0.44","333,612,134.79","872,257.00","382.47","United States","NASDAQ","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","314,911,799.72","0.42","314,911,799.72","2,368,114.00","132.98","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","303,574,074.38","0.40","303,574,074.38","1,211,534.00","250.57","United States","NYSE","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","289,246,549.78","0.38","289,246,549.78","520,106.00","556.13","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","279,356,013.05","0.37","279,356,013.05","674,203.00","414.35","United States","NYSE","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","274,044,279.60","0.36","274,044,279.60","4,182,605.00","65.52","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","270,856,624.01","0.36","270,856,624.01","14,696,507.00","18.43","United States","NYSE","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","267,308,733.32","0.35","267,308,733.32","1,801,636.00","148.37","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","262,860,045.48","0.35","262,860,045.48","3,667,644.00","71.67","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","252,141,910.56","0.33","252,141,910.56","2,869,488.00","87.87","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","249,501,294.24","0.33","249,501,294.24","1,114,044.00","223.96","United States","NYSE","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Information Technology","Equity","245,964,593.55","0.33","245,964,593.55","5,329,677.00","46.15","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","245,539,709.46","0.32","245,539,709.46","1,296,819.00","189.34","United States","NASDAQ","USD","1.00","USD","-"
"PL","PLANET LABS CLASS A","Industrials","Equity","239,741,003.39","0.32","239,741,003.39","6,261,191.00","38.29","United States","NYSE","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","232,563,984.00","0.31","232,563,984.00","3,125,860.00","74.40","United States","NASDAQ","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","226,696,525.64","0.30","226,696,525.64","2,152,046.00","105.34","United States","NASDAQ","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","222,037,208.06","0.29","222,037,208.06","1,233,403.00","180.02","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","217,414,786.10","0.29","217,414,786.10","1,045,565.00","207.94","United States","NYSE","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","216,067,255.38","0.29","216,067,255.38","1,252,346.00","172.53","United States","NYSE","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","215,726,155.50","0.29","215,726,155.50","2,821,425.00","76.46","United States","NYSE","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","215,341,822.15","0.28","215,341,822.15","599,087.00","359.45","United States","NASDAQ","USD","1.00","USD","-"
"AAOI","APPLIED OPTOELECTRONICS INC","Information Technology","Equity","210,411,773.76","0.28","210,411,773.76","1,527,712.00","137.73","United States","NASDAQ","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","209,125,741.32","0.28","209,125,741.32","4,134,554.00","50.58","United States","NYSE","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","208,102,649.72","0.28","208,102,649.72","1,683,406.00","123.62","United States","NASDAQ","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","205,099,421.20","0.27","205,099,421.20","395,380.00","518.74","United States","NASDAQ","USD","1.00","USD","-"
"AGX","ARGAN INC","Industrials","Equity","203,801,937.00","0.27","203,801,937.00","310,300.00","656.79","United States","NYSE","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","199,993,265.30","0.26","199,993,265.30","5,501,878.00","36.35","United States","NASDAQ","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","199,169,892.00","0.26","199,169,892.00","650,882.00","306.00","United States","NYSE","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","198,744,697.35","0.26","198,744,697.35","22,058,235.00","9.01","United States","NYSE","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","197,459,197.38","0.26","197,459,197.38","5,199,031.00","37.98","United States","NYSE","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","196,564,540.80","0.26","196,564,540.80","596,373.00","329.60","United States","NASDAQ","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","194,933,166.11","0.26","194,933,166.11","918,067.00","212.33","United States","NASDAQ","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","194,346,612.49","0.26","194,346,612.49","8,101,151.00","23.99","United States","NASDAQ","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","191,966,685.21","0.25","191,966,685.21","632,739.00","303.39","United States","NYSE","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","191,477,182.46","0.25","191,477,182.46","600,562.00","318.83","United States","NYSE","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","183,034,411.64","0.24","183,034,411.64","3,469,189.00","52.76","United States","NYSE","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","182,078,895.60","0.24","182,078,895.60","1,605,634.00","113.40","United States","NYSE","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","181,086,577.00","0.24","181,086,577.00","2,765,525.00","65.48","United States","NASDAQ","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","178,957,084.74","0.24","178,957,084.74","2,859,653.00","62.58","United States","NASDAQ","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","178,753,076.08","0.24","178,753,076.08","2,269,304.00","78.77","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","178,751,173.50","0.24","178,751,173.50","1,704,015.00","104.90","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","177,372,404.52","0.23","177,372,404.52","3,724,746.00","47.62","United States","NYSE","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","176,916,764.00","0.23","176,916,764.00","851,380.00","207.80","United States","NYSE","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","176,604,417.79","0.23","176,604,417.79","874,669.00","201.91","United States","NASDAQ","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","175,292,084.64","0.23","175,292,084.64","2,576,688.00","68.03","United States","NYSE","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","174,882,225.60","0.23","174,882,225.60","957,105.00","182.72","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","174,483,735.55","0.23","174,483,735.55","2,871,215.00","60.77","United States","NASDAQ","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","169,201,329.69","0.22","169,201,329.69","5,776,761.00","29.29","United States","NYSE","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","168,401,863.28","0.22","168,401,863.28","1,756,748.00","95.86","United States","NYSE","USD","1.00","USD","-"
"POWL","POWELL INDUSTRIES INC","Industrials","Equity","167,148,434.52","0.22","167,148,434.52","662,814.00","252.18","United States","NASDAQ","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","165,687,435.20","0.22","165,687,435.20","536,240.00","308.98","United States","NYSE","USD","1.00","USD","-"
"UEC","URANIUM ENERGY CORP","Energy","Equity","164,946,160.60","0.22","164,946,160.60","11,033,188.00","14.95","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","164,619,666.96","0.22","164,619,666.96","827,484.00","198.94","United States","NYSE","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","163,161,177.39","0.22","163,161,177.39","8,449,569.00","19.31","United States","NYSE","USD","1.00","USD","-"
"TEX","TEREX CORP","Industrials","Equity","163,013,996.31","0.22","163,013,996.31","2,595,351.00","62.81","United States","NYSE","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","162,073,641.38","0.21","162,073,641.38","1,387,498.00","116.81","United States","NYSE","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","161,692,519.32","0.21","161,692,519.32","753,741.00","214.52","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","160,389,000.00","0.21","160,389,000.00","1,411,875.00","113.60","United States","NYSE","USD","1.00","USD","-"
"WULF","TERAWULF INC","Information Technology","Equity","159,521,197.71","0.21","159,521,197.71","7,831,183.00","20.37","United States","NASDAQ","USD","1.00","USD","-"
